Test #,Water diaphram,Air flow rate (Nm3/h),Rotameter air pressure (bar),Water diaphragm press. drop (mbar),Relative pressure in the test section (bar),Type of differential pressure (pC-pD) or (pD-pC),Pressure drop in the pipe (mbar),Water temperature (C),Water mass in the pipe (g),Flow pattern,Water density (kg/m3),Water mass flow rate (kg/s),Air density (kg/m3),Air mass flow rate (kg/h),quality,Measured void fraction,Void fraction - Homogenous model,Void fraction - Zivi correlation,Void fraction - CISE correlation
1,S,0.36000,6.00000,78.11000,0.28000,pD-pC,82.45000,19.54000,345,slug,998.30099,0.15657,1.35882,0.48917,0.00087,0.54536,0.38936,0.06600,0.38273
2,S,0.71000,5.90000,78.53000,0.27000,pD-pC,90.95000,19.74000,329,slug,998.26047,0.15694,1.35359,0.96105,0.00170,0.56114,0.55643,0.12192,0.54821
3,S,3.58000,5.20000,78.53000,0.27000,pD-pC,96.70000,19.74000,132,slug-churn,998.26047,0.15694,1.35359,4.84586,0.00850,0.75542,0.86349,0.41180,0.85855
4,S,8.25000,5.40000,78.67000,0.26000,pD-pC,95.85000,19.64000,104,slug-churn,998.28078,0.15707,1.34835,11.12387,0.01929,0.78304,0.93575,0.61685,0.93312
5,S,16.98000,4.20000,78.23000,0.27000,pD-pC,95.23000,19.54000,44,churn-annular,998.30099,0.15667,1.35359,22.98400,0.03915,0.84221,0.96780,0.76886,0.96641
6,S,0.33000,5.00000,372.44000,0.30000,pD-pC,53.13000,17.88000,505,slug,998.62074,0.32518,1.36921,0.45184,0.00039,0.38757,0.21967,0.03033,0.21652
7,S,0.71000,5.00000,372.66000,0.29000,pD-pC,62.81000,17.69000,416,slug,998.65542,0.32527,1.36402,0.96845,0.00083,0.47535,0.37715,0.06295,0.37150
8,S,3.49000,5.00000,373.40000,0.29000,pD-pC,71.12000,17.69000,316,slug,998.65542,0.32558,1.36402,4.76043,0.00405,0.57396,0.74834,0.24808,0.74192
9,S,8.24000,5.40000,372.81000,0.29000,pD-pC,66.85000,17.69000,149,slug-churn,998.65542,0.32534,1.36402,11.23953,0.00951,0.73866,0.87541,0.43806,0.87137
10,S,16.73000,4.20000,370.41000,0.30000,pD-pC,53.15000,17.69000,96,churn-annular,998.65542,0.32433,1.36921,22.90681,0.01924,0.79093,0.93468,0.61385,0.93234
13,M,0.25000,5.80000,71.02000,0.29000,pD-pC,63.02000,18.86000,424,slug,998.43558,0.50794,1.36402,0.34101,0.00019,0.46746,0.12011,0.01492,0.11880
14,S,0.75000,5.50000,71.58000,0.27000,pD-pC,82.47000,19.45000,289,slug,998.31909,0.15048,1.35359,1.01519,0.00187,0.60059,0.58020,0.13268,0.57183
15,S,3.82000,5.20000,71.41000,0.27000,pD-pC,84.77000,19.74000,173,slug,998.26047,0.15032,1.35359,5.17072,0.00946,0.71499,0.87573,0.43819,0.87109
16,S,8.58000,5.40000,71.45000,0.26000,pD-pC,89.49000,20.03000,118,slug-annular,998.20095,0.15035,1.34835,11.56883,0.02093,0.76923,0.94056,0.63625,0.93809
17,S,16.39000,4.20000,71.42000,0.26000,pD-pC,87.06000,20.03000,51,annular,998.20095,0.15032,1.34835,22.09942,0.03923,0.83531,0.96798,0.76969,0.96659
12,M,0.72000,5.80000,96.75000,0.32000,pD-pC,37.10000,16.71000,487,slug,998.82789,0.59234,1.37952,0.99325,0.00047,0.40533,0.25220,0.03620,0.24890
13,M,3.42000,5.00000,96.61000,0.31000,pD-pC,47.80000,16.61000,325,slug,998.84488,0.59192,1.37437,4.70035,0.00220,0.56509,0.61584,0.15132,0.60936
14,M,8.77000,5.40000,95.38000,0.34000,pD-pC,20.07000,16.61000,193,slug-churn,998.84488,0.58816,1.38975,12.18811,0.00572,0.69527,0.80534,0.31594,0.80038
16,M,0.29000,6.00000,217.30000,0.27000,pD-pC,5.50000,16.71000,628,bubbly,998.82789,0.88584,1.35359,0.39254,0.00012,0.26627,0.08327,0.00995,0.08257
17,M,0.82000,6.00000,214.91000,0.32000,pD-pC,9.68000,16.52000,539,bubbly,998.86008,0.88099,1.37952,1.13120,0.00036,0.35404,0.20525,0.02796,0.20290
18,M,3.49000,5.00000,212.53000,0.35000,pD-pC,11.10000,16.42000,397,slug,998.87685,0.87613,1.39484,4.86799,0.00154,0.49408,0.52500,0.10996,0.51922
19,M,9.21000,5.20000,207.95000,0.40000,pC-pD,28.09000,16.52000,256,churn,998.86008,0.86667,1.42001,13.07828,0.00417,0.63314,0.74674,0.24899,0.74145
20,M,15.99000,4.00000,201.78000,0.45000,pC-pD,55.84000,16.42000,203,churn,998.87685,0.85378,1.44474,23.10141,0.00746,0.68540,0.83862,0.37015,0.83456
21,S,0.25000,6.00000,76.35000,0.29000,pD-pC,71.17000,24.82000,370,Slug (ampiezza elevata),997.09366,0.15487,1.36402,0.34101,0.00061,0.52071,0.30897,0.04729,0.30377
22,S,0.73000,5.90000,76.11000,0.27000,pD-pC,87.18000,25.12000,283,Slug,997.01678,0.15464,1.35359,0.98812,0.00177,0.60651,0.56661,0.12646,0.55852
23,S,2.94000,5.00000,75.52000,0.27000,pD-pC,91.77000,24.92000,216,Slug,997.06813,0.15410,1.35359,3.97956,0.00712,0.67258,0.84087,0.36912,0.83545
24,S,8.43000,5.40000,75.62000,0.26000,pD-pC,97.23000,24.42000,125,Slug/churn,997.19481,0.15420,1.34835,11.36657,0.02007,0.76233,0.93806,0.62610,0.93556
25,S,15.12000,4.20000,75.34000,0.27000,pD-pC,96.27000,24.33000,59,Churn/annular,997.21736,0.15394,1.35359,20.46632,0.03561,0.82742,0.96455,0.75077,0.96305
26,S,0.25000,6.00000,472.50000,0.31000,pD-pC,18.28000,20.81000,620,Bubbly - warning ( pressione invariata ),998.03650,0.36437,1.37437,0.34359,0.00026,0.27416,0.15981,0.02072,0.15778
27,S,0.72000,5.90000,462.50000,0.32000,pD-pC,27.75000,20.13000,530,Slug - warning,998.18022,0.36067,1.37952,0.99325,0.00076,0.36292,0.35630,0.05807,0.35109
28,S,2.88000,5.20000,462.50000,0.32000,pD-pC,36.30000,19.25000,328,Slug - warning,998.35900,0.36070,1.37952,3.97301,0.00305,0.56213,0.68889,0.19784,0.68206
29,S,8.31000,5.40000,244.62000,0.28000,pD-pC,79.43000,18.37000,175,Slug,998.52947,0.26620,1.35882,11.29177,0.01165,0.71302,0.89646,0.48967,0.89286
30,S,15.26000,4.20000,243.33000,0.29000,pD-pC,72.83000,18.27000,112,Slug,998.54831,0.26554,1.36402,20.81496,0.02131,0.77515,0.94097,0.63881,0.93875
31,S,2.80000,5.20000,244.77000,0.28000,pD-pC,79.91000,17.88000,236,Slug,998.62074,0.26629,1.35882,3.80469,0.00395,0.65286,0.74468,0.24426,0.73797
32,M,0.29000,6.00000,85.37000,0.32000,pD-pC,24.77000,16.81000,578,Bubbly,998.81079,0.55663,1.37952,0.40006,0.00020,0.31558,0.12629,0.01584,0.12491
33,M,0.71000,5.90000,85.41000,0.31000,pD-pC,36.83000,16.81000,503,Slug,998.81079,0.55676,1.37437,0.97580,0.00049,0.38955,0.26134,0.03786,0.25787
34,M,2.90000,5.20000,85.32000,0.31000,pD-pC,52.12000,16.81000,323,Slug,998.81079,0.55647,1.37437,3.98567,0.00199,0.56706,0.59115,0.13854,0.58458
35,M,8.36000,5.40000,84.45000,0.33000,pD-pC,27.86000,17.01000,221,Slug,998.77624,0.55364,1.38464,11.57561,0.00577,0.66765,0.80730,0.31840,0.80232
37,M,0.28000,6.00000,215.00000,0.34000,pD-pC,12.01000,17.69000,643,Bubbly,998.65542,0.88108,1.38975,0.38913,0.00012,0.25148,0.08101,0.00975,0.08034
38,M,2.89000,5.20000,213.30000,0.34000,pD-pC,17.41000,17.01000,387,Slug/churn,998.77624,0.87766,1.38975,4.01638,0.00127,0.50394,0.47741,0.09255,0.47192
39,M,8.30000,5.40000,209.10000,0.78000,pC-pD,22.68000,17.88000,283,Churn/annular,998.62074,0.86895,1.59840,13.26675,0.00422,0.60651,0.72600,0.23661,0.72037
40,M,15.09000,4.30000,204.36000,0.44000,pC-pD,57.76000,18.08000,206,Slug/churn,998.58381,0.85907,1.43983,21.72702,0.00698,0.68245,0.82971,0.35503,0.82554
